Account Number,Income,Credit Limit,Credit Rating,Household Size,Education Years,TV Hours Per Week,Age,Gender,Married,Credit Limit Breach
23313578,21.8,10.073546099290779,544.4127659574467,4,5,31,47,Female,Yes,No
14168784,65.5,15.788888888888888,587.3333333333333,7,3,48,60,Female,Yes,No
498076,54.2,13.916879432624114,475.01276595744685,3,2,20,47,Male,Yes,No
12286258,73.7,13.09869918699187,665.9219512195123,6,0,46,41,Male,Yes,No
14458626,110.4,22.083333333333336,785.0,7,5,39,36,Female,Yes,No
6587932,22.1,8.320769230769232,439.2461538461539,8,3,41,52,Female,Yes,No
28612775,39.6,17.727755102040817,583.665306122449,5,4,40,49,Female,Yes,No
23618891,90.6,22.733333333333334,764.0,8,5,27,46,Female,Yes,No
6620536,38.7,15.563333333333333,693.8,1,4,17,40,Male,No,No
25744803,60.5,18.555555555555554,573.3333333333333,3,1,5,60,Male,No,No
26373139,104.3,26.96666666666667,778.0,4,5,58,53,Female,No,Yes
18241851,44.5,20.127777777777776,727.6666666666666,3,5,21,30,Male,Yes,No
29558287,67.1,23.066190476190478,723.9714285714285,6,1,33,35,Male,No,No
14427717,72.3,18.743737373737375,764.6242424242424,3,3,27,33,Female,Yes,No
19206708,114.8,24.78333333333333,827.0,5,3,23,29,Male,Yes,No
13775672,96.0,19.05,843.0,6,2,36,19,Male,Yes,No
28207255,90.2,24.28333333333333,797.0,4,0,59,24,Male,Yes,No
26411517,54.6,12.342136752136753,560.5282051282052,4,0,8,39,Male,No,No
22411321,97.4,21.733333333333334,824.0,4,4,30,28,Male,No,Yes
29587727,45.9,21.750404040404042,705.0242424242424,7,3,46,33,Female,Yes,No
25774035,61.8,15.087948717948718,725.2769230769231,4,4,55,65,Female,No,No
202180,38.6,21.29077519379845,617.446511627907,2,3,59,43,Female,No,No
1412960,68.9,24.05770114942529,783.4620689655173,3,3,29,29,Male,Yes,No
7418245,73.4,19.454871794871796,747.2923076923078,7,1,9,26,Male,Yes,No
10107002,22.6,7.578888888888889,394.73333333333335,6,0,19,60,Female,Yes,No
26588030,50.5,13.635802469135802,638.1481481481482,7,5,22,54,Male,No,No
26296381,81.6,15.04,542.4,5,1,34,50,Male,No,No
26868036,37.3,19.227575757575757,553.6545454545455,1,4,20,55,Female,No,No
13898458,66.1,25.15,849.0,4,3,40,23,Female,No,No
11423261,24.3,10.98912568306011,539.3475409836066,5,3,48,61,Female,No,No
29896806,32.5,14.874603174603175,652.4761904761905,8,4,16,42,Male,Yes,No
29336958,65.7,13.710952380952381,522.6571428571428,8,1,18,56,Female,Yes,No
25494293,51.4,12.274285714285716,556.4571428571429,1,3,18,56,Female,Yes,No
25239019,101.8,15.566666666666666,814.0,8,5,22,36,Female,Yes,Yes
13964728,31.8,18.953333333333333,597.2,4,4,19,40,Female,No,No
12936145,120.9,18.345802469135805,740.7481481481482,8,1,16,54,Male,No,No
9742628,102.8,26.9,774.0,7,3,53,60,Female,Yes,No
25804252,70.4,18.34095238095238,560.4571428571429,5,2,22,56,Male,Yes,No
21467566,43.2,16.534938271604936,572.0962962962963,6,0,13,27,Female,Yes,No
2948494,33.6,18.832105263157892,589.9263157894736,6,2,23,38,Male,No,No
859874,32.9,14.691884057971015,401.5130434782609,3,2,58,46,Male,No,Yes
6733609,97.9,24.15,849.0,5,3,23,26,Male,Yes,No
18368006,101.7,24.519181286549706,811.1508771929824,3,2,17,57,Female,Yes,No
28865347,77.2,25.916666666666664,835.0,5,4,59,38,Male,No,No
23958869,86.2,19.795723270440252,707.7433962264151,5,4,56,53,Male,No,No
25490051,111.9,15.823636363636364,709.4181818181819,6,0,56,44,Male,No,No
